Country,Country Classification,Industry,Technology,Dimensions,Customer-Provider,Challenges
Global,Global,Manufacturing Supply chain,Blockchain,"-Interorganizational barriers
-Industry 4.0 technology barriers
-Intraorganizational barriers
-External barriers
-Social and environmental barriers",No,"Data Transparency (B2):
""Data transparency remains a critical challenge in the adoption of blockchain technology, as industries view transparency as both an opportunity and a potential risk when transmitting critical information in real-time""​

Lack of Trust (B3):
""Trust issues in the intra-organizational context include barriers such as lack of trust among stakeholders, leading to difficulties in blockchain implementation""​

Security and Technical Vulnerability (B7):
""Blockchain technology faces serious barriers related to security and technical vulnerabilities, which can create hesitancy among organizations in fully deploying the technology across their supply chains""​

Legal Uncertainties (B8):
""Legal uncertainties, particularly those related to smart contracts, are a significant barrier, requiring clear frameworks and government involvement to reduce ambiguity and risk""​

Interoperability (B10):
""Interoperability between systems remains a key challenge as blockchain networks requir | Lack of Awareness (B1):
""Awareness gaps, especially among stakeholders, hinder the broader adoption of blockchain technology, requiring significant efforts in education and training""​

Immaturity of Technology (B5):
""The immaturity of blockchain technology, coupled with limited knowledge of its benefits, contributes significantly to the barriers in its adoption""​

Missing Infrastructure (B9):
""The lack of adequate infrastructure to support blockchain technology implementation is a major impediment, particularly in less technologically advanced regions""​

Lack of Standardization (B6):
""A lack of standardization creates technological uncertainty, complicating the implementation process and limiting the scalability of blockchain solutions""​
​
Market Competition (B14):
""High market competition exacerbates challenges in blockchain adoption by intensifying the need for quick and efficient implementation to gain competitive advantage""​ | Financial Constraints (B4):
""Financial constraints are a persistent barrier, as blockchain projects often require significant investment in infrastructure, training, and operational changes""​

Complex Protocol (B13):
""The complexity of blockchain protocols poses a substantial barrier, making it challenging for organizations to adopt and integrate them effectively""​
​
High Sustainability Costs (B12):
""The costs associated with sustainable practices in blockchain implementation can be prohibitive, especially for small and medium-sized enterprises""​

Lack of Industry Involvement (B11):
""The lack of involvement and collaboration among industry players is a significant barrier, requiring innovative governance frameworks to encourage participation"" | nan"
China,Developing,Manufacturing Supply chain,Blockchain,"Economic barriers
Environmental barriers
Organizational barriers
Social barriers
Technological barriers

Organizational Barriers
--Intra-organizational barriers
--Inter-organizational barriers
Social Barriers
Technological Barriers",No,"Political Barriers
""There are few incentives to adopt blockchain."" (Pol_1)
""There is no official evaluation standard for enterprises’ sustainability."" (Pol_2)
""There are no reliable references for blockchain adoption in SSCs."" (Pol_3)
""There is little government supervision of blockchain adoption in SSCs."" (Pol_4)
""Lack of regulations or laws that concern data sharing."" (Pol_5)
Economic Barriers
""High installation costs."" (Eco_6)
""High maintenance and administrative costs."" (Eco_7)
""High production and delivery costs."" (Eco_8)
""High training costs."" (Eco_9)
""High integration costs."" (Eco_10)
""High information sharing costs."" (Eco_11) | Environmental Barriers
""Blockchain requires significant energy consumption to support an enormous number of transactions."" (Ecology_12)
Organizational Barriers
Intra-organizational barriers
""Resistance from members of the organization."" (Org_intra_13)
""The lack of support from corporate executives greatly hinders blockchain adoption in SSCs."" (Org_intra_14)
""The tolerance of new technologies has a significant impact on blockchain usage in enterprises."" (Org_intra_15)
Inter-organizational barriers
""Different stakeholder cultures make it difficult for them to coordinate blockchain adoption."" (Org_inter_16)
""The lack of professional talent also restricts blockchain adoption in SSCs."" (Org_inter_17)
""Stakeholders in SSCs hold different opinions on blockchain adoption due to the following two points: first, stakeholders in SSCs have diverse goals and sustainability practices. Second, the impact of the information transparency brought about by blockchain varies by stakeholder."" (Org_inter_18 | Technological Barriers
Data security
""There are two main data threats associated with the use of blockchain: A 51% Attack and private key security."" (Tech_22)
Handleability
""Blockchain-based trading is complicated and fallible. Also, errors are irreversible due to the immutability of the ledger."" (Tech_23)
Limited storage capacity
""The blockchain records the log data of each transaction. Numerous participants bring an enormous number of tasks to be performed, which in turn creates great storage requirements."" (Tech_24)
Scalability
""Each block in the blockchain carries the complete record of transactions, and each new transaction will be accompanied by a block that is newly added to the ledger."" (Tech_25)
Permission
""Blockchain systems are divided into two types: public and private systems. The decision of a blockchain system is affected by the supply chain type."" (Tech_26) | Data immutability
""Data immutability ensures data authenticity and improves the reliability of SSCs. However, it is problematic that data that have negative effects cannot be modified."" (Tech_27)"
Iran,Developing,Glass industry,Industry 4.0 in general,"OM (Organizational-Managerial 
I (Infrastructure
HC (Human-Cultural
F (Financial
RL (Legal and Regulatory
T (Technical",No,"OM (Organizational-Managerial Challenges)
OM1: Lack of commitment and support from management for the implementation of Industry 4.0 technologies.
OM2: Lack of awareness and knowledge of managers about economic, environmental, and social benefits of Industry 4.0 technologies.
OM3: Lack of vision and strategy (roadmap) for the implementation of Industry 4.0 by top managers.
OM4: Weakness in research and development activities related to Industry 4.0 implementation.
OM5: Lack of a digital human resources training and development system.
I (Infrastructure Challenges)
I1: Lack of software and hardware infrastructure based on information technology.
I2: Issues related to the transfer of advanced digital technologies.
I3: The novelty of the concept of Industry 4.0 and limited experimental and applied research.
I4: Lack of standard information systems and knowledge management. | HC (Human-Cultural Challenges)

HC1: Lack of skilled and trained workforce in the field of Industry 4.0 technologies.
HC2: Lack of digital and innovative culture in the organization.
HC3: Resistance to organizational and process changes.
HC4: Fear of unemployment and lack of motivation of staff (disruption of jobs).

F (Financial Challenges)
F1: High investment costs in implementing Industry 4.0 technologies and uncertainty in return on investment.
F2: Lack of financial support mechanisms by policymakers and the government.
F3: Lack of budget and financial tools for education, R&D, and digital operations | RL (Regulations-Legal Challenges)

RL1: Cybersecurity issues (information security and privacy).
RL2: Lack of standards, rules, and regulations, and a general framework in the digital field.
RL3: Lack of regulatory, legal, and contractual mechanisms.

T (Technical Challenges)
T1: Lack of coordination and cooperation between supply chain partners.
T2: Lack of a digital business model and clear framework for implementing Industry 4.0.
T3: Low level of technology maturity and lack of integration and compatibility between different technologies.
T4: Lack of integration of supply chain inside and outside the organization | nan"
Poland,Developed,Shipbuilding Industry,Digital Twin,,No,"High complexity of processes 
Lack of digital infrastructure
Resistance to digitalization from employees and management | nan | nan | nan"
India,Developing,Manufacturing Industry,Industry 4.0 in general,not mentioned,No,"Regulatory challenges (RGC):
""Regulatory challenges (RGC) appear to be the most important challenge that needs to be tackled first while implementing Industry 5.0""​

Integration with existing systems (IES):
""Integration with existing systems and Ethical challenges (ETC) emerge as the second and third most important in the category of challenges""

Ethical challenges (ETC):
""The Ethical challenges occupy the third position in the list of challenges, considering their overall importance in the system""​

Gaps with skill levels (GSL):
""Industry 5.0 requires high technological expertise and finding the skilled people who can achieve the exact man–machine sync is difficult to achieve and is challenging""​

Data security and privacy (DSP):
""Since Industry 5.0 requires an enormous amount of data to reduce variability in production, there can be security issues related to data breaches and cyberattacks""​

Cost of integration (COI):
""Industry 5.0 technologies are expensive to implement, particular | 2.9 Managing system complexity (MSC)
Since Industry 5.0 works in an integrated environment with human–machine interface, the
complexity of the system increases. As resilience of a system or a network is adversely
proportional to complexity, creating resilient systems can be really challenging. This can be
enhanced by providing flexibility in manufacturing environments. Maintaining a good
trade-off between flexibility and complexity is required for achieving resilient production
systems, which emerges as one among the primary targets in Industry 5.0 | nan | nan"
Brazil,Developing,Footwear industry,"Condition Monitoring, IOT & Cyber-physical systems, Information & Communication Technologies",not mentioned,No,"Signal Interference:
""Technical constraints such as interference between signals from different antennas, reflections and attenuation generated by the various materials and structures in the environment are factors that should always be considered in information systems applying RFID and Industry 4.0 technologies""​

 high financial investments.

""Inhibitors of Industry 4.0 regarding the lack of technological infrastructure in the firms and the complexity of absorption of the technologies""​ | nan | nan | nan"
India,Developing,,Industry 4.0 in general,,No,"High Initial Cost (C-1)
Limited Adaptability of Existing Equipment (C-2)
Complex Programming (C-3)
Adaptive Intelligent Decision Making (C-4)
Cyber Security (C-5)
Maintenance and Repairs (C-6)
Lack of Skilled Workforce (C-7)
Incompatibility with Certain Materials (C-8)
Resistance to Change (C-9) | nan | nan | nan"
India,Developing,Food and beverage manufacturing,Industry 4.0 in general,not mentioned,Yes,"High investment cost:
""Significant initial investments are required to systematise the foundation of Industry 4.0 applications. As the adoption of Industry 4.0 applications does not guarantee an immediate return on investment, some businesses, particularly SMEs, may lack access to financial resources

Infrastructure and incompatibility issues:
""Several compatibility issues arise when implementing CE, including conflict of interest, awkward business models, inadequate services, lack of network support, and machinery incompatibility

Data safety and security issues:
""Interlinking devices and technologies may exacerbate security issues... interactions with humans and machines will occur during CE implementation, posing several challenges to ensuring workplace and data safety

Interconnectedness and collaboration issues:
""Lack of collaboration can impede the implementation of CE principles due to a lack of trust, making it even more challenging to determine when and with whom to collaborat | Lack of technological capability:
""Inadequate technological infrastructure, insufficient knowledge, and a lack of technological expertise are significant challenges for SMEs. Many SMEs are bound by traditional practices and have limited access to advanced technologies.""

Shortage of affordable technologies:
""The absence of affordable technologies and the high cost of advanced solutions prevent SMEs from fully adopting CE principles. Many firms lack the financial capability to invest in new technologies."" | Inadequate training and skills:
""Employees are not adequately trained to handle new technologies, leading to difficulties in maintaining and operating Industry 4.0 applications. A lack of self-learning capability exacerbates this problem.""

Network and communication challenges:
""SMEs face issues with network connectivity and communication, especially when dealing with multiple vendors across different locations. Poor network infrastructure can hinder the adoption of cloud computing and IoT."" | nan"
Morocco,Developing,,Industry 4.0 in general,"Dimensions of challenges (if categorized by the authors):

Technological
Organizational
Environmental",No,"Organizational barriers: Resistance to change and lack of strategic vision hinder I4.0 adoption.
Technological readiness: Companies lack sufficient infrastructure and technical expertise for full digital transformation.
Environmental pressures: Regulations and stakeholder demands push for I4.0 adoption but also create compliance challenges.
Cost-related issues: High investment requirements for I4.0 technologies pose financial barriers.
Integration difficulties: Ensuring smooth collaboration between different parts of the supply chain remains challenging. | nan | nan | nan"
India,Developing,Manufacturing Industry,Industry 4.0 in general,"T (Technological)
O (Organisational)
E (Environmental)",No,"-Technological barriers
Unsafe data storage systems
The need for large amounts of storage capacity
Lack of supportive infrastructure (hardware, software)
Lack of standards including technology and processes
Lack of real-time control system
Lack of customized sensors and technologies for steel industry
Unstable connectivity among ﬁrms
Ineffective processing, prioritization and analysis of data | -Organisational barriers 
Resistance by employees and middle management to use industry 4.0 for decarbonisation
Lack of internet coverage & IT facilities
Longer learning time due to poor knowledge transfer
Long payback period for industry 4.0 technologies
Lack of support of green ﬁnance
Lack of conscious planning, deﬁning goals, steps and needed resources
Lack of understanding of implications of Industry 4.0 on decarbonisation
Lack of appropriate competences and skilled workforce
Lack of a leader with appropriate skills, competencies and experience
In adequate organizational structure and process organization | -Environmental barriers
Slow pace of change in the steel industry
Lack of stakeholder pressure to minimize waste and increase efﬁciency using industry 4.0
Lack of Government regulations and guidelines
Lack of government supports for digitalization
Lack of competitive pressure in steel industry
Lack of competitive benchmarking on the applications of industry 4.0 in steel manufacturing | nan"
India,Developing,Manufacturing Industry,Industry 4.0 in general,"Technological
(A1)
Operational
(A2)
Organizational
(A3)
Managerial (A4)
Sustainable
development
(A5)",No,"Technological (A1)
Technological development (C1) 
Lack of IT infrastructure, high initial disposal cost, insufficient network facilities, inadequate recycling technologies, and lack of resources for R&D.
Complexity in collaboration (C2)-
Lack of skillset, lack of understanding, and lack of collaboration and data sharing procedure, and limited knowledge about the Industry 4.0 technologies.
Data securiy and privacy (C3)-
Data transparency, data theft and lack of data management issues are present in the existing system.

Operational (A2)
Data management (C4)-
Lack of data analysis, data mining and cleansing, data and information sharing, lack of effective reverse logistic system, quality compromise of the secondary material and product technology improvement.
Big data and analytics (C5)-
Data integration complexity, higher data growth, lack of data analytics, insufficient and data acquisition. | Strategic development (C6) -
Lack of operational strategies for a sustainable CSC, traditional rules and regulations, poor leadership and management, poor R&D on Industry 4.0 and CSC implementation, and lack of adequate government planning and support.
Organizational (A3)
Employment disruption (C7):
Unemployment and fear of disruption to the existing job by replacing the workforce with machines.
Collaborative model (C8): Poor organizational culture, lack of collaboration and coordination with supply chain partners, lack of human and machine interaction, and lack of social and ethical policies.
Decision-making ability (C9): The complex and uncertain nature of CSC needs high decision-making ability to integrate with a smart production system that manages resources sustainably and self-determination, social, and skilled workforce capabilities. | Managerial (A4) 
Management support (C10):
Anticipating market demand, lack of top management and stakeholder support, conservative attitude of existing workers, lack of availability of skilled workers, and lack of proficiency to lead digitalization initiatives.
Analysis and strategy (C11):
Lack of planning and implementation, ineffective take-back mechanism, lack of information management system, lack of risk management infrastructure, lack of availability of recycling/reuse products and deficiency of circular design strategies.
Human resource (C12):Lack of competencies, lack of skilled workers and safety facilities for sustainable operation, lack of
attention towards legal and ethical issues. | Sustainable development (A5)
Economic (C14):Lack of financial feasibility, lack of economic inducement, and fear of low economic returns
Environmental (C15):Lack of ecological protocols and massive automation produce adverse impacts on the
environment, which include huge power expenditure, depletion of natural resources, CO2 emission, and e-waste generation."
Poland,Developed,"Automotive Sector, Food and beverage manufacturing, Furniture manufacturing",Industry 4.0 in general,"strategic planning, internal processes and infrastructure, standards and security, and human resources​",No,"Strategic Planning (SP)
Lack of Clarity on Economic Benefits: The economic advantages of implementing Industry 4.0 are unclear due to incomplete integration across the value chain, leading to uncertainty about value capture​

High Investment in I4.0 Implementation: A significant capital investment is required, which is a challenge for smaller firms that may face potential financial losses​

Lack of Digital Culture: A culture supportive of digital transformation is essential for the adoption of Industry 4.0 but is often lacking​

Barriers in Data Management and Data Quality: Managing large amounts of data generated by Industry 4.0 technologies and extracting valuable insights pose significant challenges

Internal Processes and Infrastructure (IPI)
Difficult Organizational and Process Changes: Adapting to Industry 4.0 technologies often requires significant organizational changes and process adaptations​
Lack of Understanding and Commitment from Top Management: Management may resist I4.0 | Coordination and cooperation among all the organizational units and partners are necessary for better communication | nan | nan"
Sri Lanka,Developing,Textile industry,Industry 4.0 in general,"financial barriers, technological barriers, organizational barriers, and operational barriers​",No,"1. Financial Barriers:
High-cost expenditure for the implementation of I4.0 :It is required a huge amount of money to import sensors and other technological tools covering the whole plant. [...] The requirement of high-cost allocation demotivates the implementation of I4.0 applications.”
Unclear Return on Investment (ROI): “The organisations should run on profits because some technological improvements can cause losses when compared with the investment.”​
2. Technological Barriers
Lack of technical skills and IT literacy for workers:
Now the industry is in a stage of not needing individual technical skills [...] adapting to high-end technology is hard with low technical skills.”​
Technological incapability in plants:
“The manufacturing plants need to be covered with technological capability for an easy installation of modern applications.”​
3. Organizational Barriers
Resistance to change:“Old people reject innovations because they are fearful to deal with change. Similarly, adapting pe | 4. Barriers Related to Workforce Concerns:
Fear of Job Loss:
""Some respondents are also slightly confused about the probability of having job loss for workers. They added, if the plants make the whole process automated or replace it with robots, it will affect the jobs of workers. Similarly, the workers also have the fear that they will lose their jobs due to automation.""
Lack of Incentives for Upskilling:
""There is a concern that organizations are not investing enough in training and motivating the workforce to learn and adapt to I4.0 technologies."" | 5. Practical Barriers:
Physical Limitations in Existing Plants:
""Respondents noted that there is a possible issue of installing robots as per requirements, further they are having a doubt about the capability of robots in handling fabrics.""
Limitations in Current Technology:
""In addition, there is doubt about replacing the human sense with technology. Further, respondents shared that when applying RFID for fabric products, those products cannot be heated, because it will damage the sensor in it."" | nan"
Global,Global,,Industry 4.0 in general,"nao sao bem dimensoes, mas categorias, Innovation, Operations management, Quality management, Competitive
advantage",No,"Desafios
Satisfactory results
""Massive data analysis and dissemination of acquired knowledge""​
.

Add value through technologies
""Investment in qualified people and process improvement""​
.

The transition of organizations to a world-class technological model
""Availability of intellectual and technological capital becomes a differentiator and helps in this process, facilitating the transition of organizations to a world-class technological model, impacting all businesses""​
.

Quick decision making
""Knowledge of improvement opportunities facilitates quick decision making, through consolidated data existing in the processes. However, only a consolidated database is not capable of allowing a constant evolution. We reinforce that the integration between different areas, through different technological resources, is more effective for increasing efficiency in the processes""​
. | Integration between areas, resources and processes
""A better organizational understanding of the processes facilitates these integrations, fighting human resilience in the face of this new reality, directing towards greater flexibility in the management of complex problems, facilitating the integration between different interfaces""​
.

Sustainable development
""The sustainability of processes occurs through the search for balance between available resources and the need to exploit, without extinguishing them""​
. | Greater assertiveness in identifying bottlenecks and errors in processes
""Controlling operations, with a focus on maximum efficiency and adding value, takes place with a focus on greater assertiveness in identifying process bottlenecks""​
Barreiras
Cost of technological integration
""Investment in more accessible technologies to break the first barrier""​
.

Development of new professional skills
""The greater the application of technologies, the greater the development of skills for these practices; as a consequence, it increases the aggregation of value to products and services, which allows investing in new technologies and more modern processes""​
.
. | Resilience of human resources to new technologies
""Flexibility shows that companies are willing to change and new procedures, necessary for the implementation of Industry 4.0 practices, but they face difficulties due to the barriers imposed by workers, generally induced by the feeling of substitution of their work by machines""​
.

Integration of processes for Industry 4.0 practices
""Understanding of the technologies used and how to apply them in the processes""​
.

Organizational culture
""The organization must be able to understand the deviations that can occur during this transition phase. For this to happen in a less impactful way in the management of operations, the changes should not be abrupt""​"
India,Developing,Textile industry,Industry 4.0 in general,not mentioned,No,"unaware-ness about CE–ST adoption (B1),
 unavailability of generic framework (B2),
 unavailability of skilled resources (B3),
 lack of digital infrastructure (B4),
 lack of capability and motivation(B5), 
lack of government support and subsidies (B6),
 lack of knowledge about CE practices(B7),
 unawareness of adoption policies (B8),
 lack of acceptability (B9),
 lack of circular SC design aspects (B10), 
resistance for cultural change (B11) | nan | nan | nan"
Spain,Developed,Solar,Digital Twin,not mentioned,Yes,"Integration of different vendor-specific tools into a single, unified platform.
Lack of a collaborative environment that integrates various engineering disciplines.
Resistance to adopting simulation technologies due to uncertainty about Return on Investment (ROI)​ | nan | nan | nan"
Austria,Developed,Construction,"Condition Monitoring, IOT & Cyber-physical systems",not mentioned,No,"“Managing the large amount of data generated from different sensors and departments”
“Ensuring efficient communication and overall safety on the shop floor”​
“Handling the small data challenge and a high variety of products” | nan | nan | nan"
Developing Countries,Developing,Logistic,Industry 4.0 in general,"knowledge gaps, organizational resistance, investment costs, and training inadequacies,",No,"Employee Knowledge Gap:

Employees lack adequate knowledge of Industry 4.0 concepts, which hinders implementation.
Quote: ""The increase in knowledge about Industry 4.0 is accompanied by an increase in the level of the employees' preparation for these challenges.""
Resistance to Change:

Employees feel threatened by potential job loss due to automation and technological changes.
Quote: ""Employees fear they may lose their job due to the automation of activities or competency gaps.""
Cost and Resource Allocation:

High initial costs and uncertainty of return on investment for implementing Industry 4.0 technologies.
Quote: ""The varied opportunities and an increased need for investment make the development of Industry 4.0 a key challenge for the modern economy.""
Training and Skill Development:

Insufficient training initiatives, especially in Poland, where 51% of companies do not plan any activities for skill improvement.
Quote: ""There is a need to improve the quality of human capital so that | Employee Knowledge Gap (Continuação)
""Many jobs will be lost, but on the other hand, new jobs will be created in other areas. Nevertheless, these new opportunities will most likely require highly skilled, innovative, and dynamic workers.
Resistance to Change (Continuação)
""Employed people feel threatened, and they fear they may lose their job due to the automation of activities or due to competency gaps""​ | Cost and Resource Allocation (Continuação)
""These varied opportunities, a wide range of changes, and an increased need for investment make the development of Industry 4.0 a key challenge for the modern economy""​
.
Training and Skill Development (Continuação)
""Employees should have highly developed communication skills, be focused on precise task completion, and be able to work both autonomously and in a team. They should also be open to exchange and sharing of knowledge and experience""​
. | nan"
Australia,Developed,,IOT & Cyber-physical systems,not mentioned,No,"Investment cost:

""The principal obstacle to IoT adoption cited by 11 retailers was investment cost.""
Lack of management vision:

""Six managers also discussed a perceived lack of management vision in IoT adoption.""
Employee resistance:

""Six cited employee resistance to change.""
""Six participants cited staff members fearing technology as an obstacle."" | ack of standardization:

""Four retailers cited the issue of not being able to integrate systems due to a lack of standardisation.""
Interoperability issues between systems:

""Five participants identified not having access to the systems of SC partners as a challenge.""
Unwillingness to share data with supply chain partners:

""Ten retailers indicated that they analyse data in-house and share findings with SC partners: 'We don't share data with our supply chain partners, we just share the outcome.' "" | Security and privacy concerns:

""Privacy and security issues were raised by 6, particularly in relation to consumer apps.""
Finding time to learn and understand new technologies:

""Six participants attributed particular significance to resistance from older workers: 'Sometimes they try to avoid using this, especially if they are a bit older.' "" | nan"
Norway,Developed,Petroleum industry,Industry 4.0 in general,"Human Challenges, Organizational Challenges",Yes,"Human Challenges:
Resistance to Change:
""Opposition to change because people feel that their position is threatened... will complicate such introduction and the necessary changes to work processes.""

Lack of Digital Competence:
 ""Differences in the way onshore and offshore personnel develop their expertise will widen, leading to a wider competence gap... creating HSE (Health, Safety, and Environment) challenges and demanding attention.""

Job Security Concerns:
 ""Much of the industry’s digitalization attention is directed towards moving jobs from sea to shore... One consequence of this is greater job insecurity."" | Trust in Technology:
 ""Lack of trust in the technology can also be a barrier to digitalization... Building up the necessary trust calls for more testing and involvement of employees and users.""

Alienation:
""People required to take critical decisions risk being alienated and no longer have a full overview of vulnerabilities.""

Insecurity and Resistance to Change:
""Participants report that it can be challenging to convince employees that they will be doing other tasks while simultaneously creating a sense of security.""

Competence Requirements:
 ""Changes in the content and conduct of work entail the need to update knowledge and expertise... This concerns the need for a strategic perspective on technology and decisions related to implementation and management."" | Leadership Commitment:
""Developing the digital expertise of managers will be important... for the industry’s ability to achieve a mutual evolution of technology as well as work processes and organization.""

Distributed Work and Interaction:
 ""A key aspect associated with digitalization is transferring people from sea to shore... A related issue given emphasis is that developing and implementing new decision-support systems call for adapting/changing work processes.""

cultural Barriers:
""Participants described the sector in general and its management culture in particular as conservative, which affects both knowledge about and attitudes to technology development."" | Complexity and Absorbability:
""The level of complexity is high in technology, work processes, and organizational conditions... Adapting to different demands and wishes from partners can be challenging.""

Barriers to Technology Adoption:
 ""Structural factors in the industry, power structures, and business models represent key barriers to developing and/or adopting available technology.""

Changes in Roles, Structures, and Responsibilities:
""Such a trend presents problems for aspects like the division of responsibility and ownership... The interfaces between actors become more unclear.""

Strategic Integration:
""Attention is also called to the difficulty of striking a balance between technological progress in small steps and an overarching, integrated, and strategic approach to modernization through the use of digital technology"
Italy,Developed,Food and beverage manufacturing,Digital Twin,"Process, Technology, Economic and financial, Reg­
ulations and market, and Culture and organization)",No,"Process
B1. Lack of holistic approach

B2. Lack of consensus about standard solutions

B3. Lack of cooperation among business partners

B4. Increase in SC complexity

B5. Lack of awareness about the “End-of-Life (EOL)” activities

B6. Lack of control over the whole SC (Closed-loop control) | Technology
B7. Low infrastructure serving CE and IT infrastructure

B8. Low perceived quality of recycled products

B9. Low readiness level and poor IT infrastructure

B10. Lack of a strategy-technology alignment

B11. Absence of enough advanced technologies commercially available

B12. Increase in data volume and complexity

B13. Lack of digital continuity

B14. Lack of reliable data and information

B15. Security of data and connected assets

B16. Lack of I4.0 standards | Economic
B17. High cost (OPEX)

B18. Quality issues

B19. Increased product complexity

B20. High initial investments

B21. Short-term focus

B22. Financial uncertainty related to I4.0 and CE practices

B23. Lack of integrated TT performance measurement systems

B24. Limited market for Circular BM and innovation capacity | nan"
Germany,Developed,Manufacturing Supply chain,Cybersecurity,"1 Absence of skilled employees and training, 2 Insufficient strategy to fund cybersecurity, 3 Poorly defined accountability of cybersecurity, 4 Unstandardized Industry 5.0 security policies",No,"1. Absence of skilled employees and training

Sub-challenges:

1.1 Lack of qualified specialists

1.2 Employees’ trouble with new skills

1.3 Insufficient training

2. Insufficient strategy to fund cybersecurity

Sub-challenges:

2.1 Cybersecurity is not recognized as a high-level management issue

2.2 Cybersecurity generates profit, not directly

2.3 Keeping stability between cost and the need for security

3. Poorly defined accountability of cybersecurity

Sub-challenges:

3.1 Procurement contracts have less planning

3.2 Lacking liability-related law

3.3 Huge variety of stakeholders | 4. Unstandardized Industry 5.0 security policies

Sub-challenges:

4.1 Different policies in branches of large manufacturing organizations

4.2 Lack of systemic way

4.3 Lack of security standards research

5. Supply chain vulnerabilities

Sub-challenges:

5.1 More interdependent supply chain

5.2 Different degrees of cybersecurity in the supply chain

5.3 Lack of proper scaling when considering supplier cybersecurity

6. Deficiency in interoperability and common communication language

Sub-challenges:

6.1 Tough to secure integration of several devices

6.2 Hard to ensure a common baseline of security among devices, platforms, and frameworks

6.3 Interconnectivity between Industry 5.0 devices and legacy systems is challenging | 7. Embedded technical constraints

Sub-challenges:

7.1 No proper monitoring system

7.2 Few consider advanced encryption or authentication

7.3 Old devices and techniques are less ideal for cybersecurity
8. Insufficient government patronization

Sub-challenges:

8.1 Lack of law to ensure cybersecurity

8.2 Insufficient funding for research and development projects

8.3 Lack of response to a hacking incident | 9. Non-availability of cybersecurity curriculum in education

Sub-challenges:

9.1 Inadequate collaboration between industry and university

9.2 Absence of planning commission to reshape curriculum

9.3 Cybersecurity course is not compulsory

0. Emergent cybersecurity trends

Sub-challenges:

10.1 Growing cyberattacks

10.2 Lack of proper cybersecurity updates

10.3 Flexibility of cybersecurity structure"
